question,answer,question_type,page
Bu metnin amacı nedir?,"Bu metnin amacı, belirli bir metin için yüksek kaliteli soru-cevap çiftleri oluşturmaktır. Bu çiftler, farklı soru türlerini içermeli ve metnin içeriğine uygun, özlü ve doğru yanıtlar sunmalıdır.",Kavramsal,126
Hangi tür sorular dahil edilmelidir?,"Olgusal, kavramsal, bağlamsal, nedensel, yöntemsel, analitik, varsayımsal, yansıtıcı, spekülatif, listeleme ve özetleme gibi farklı türde sorular dahil edilmelidir.",Listeleme,126
Yanıtların uzunluğu nasıl olmalıdır?,"Yanıtlar çok kısa olmamalı, ancak özlü olmalıdır. Cevabı açıkça açıklamak için yeterli bağlam verilmelidir.",Yöntemsel,126
"""Evet"" veya ""Hayır"" gibi kısa yanıtlardan kaçınılmasının nedeni nedir?","""Evet"" veya ""Hayır"" gibi kısa yanıtlardan kaçınılmalıdır çünkü bu tür yanıtlar bilginin ardındaki gerekçeyi anlamak için gerekli bağlamı sağlamaz.",Nedensel,126
Soru-cevap çiftleri oluşturulurken nelere dikkat edilmelidir?,"Soru-cevap çiftleri oluşturulurken dil tutarlılığı, soru çeşitliliği, zorluk dengesi, yanıt hassasiyeti, bağlam farkındalığı ve tekrardan kaçınmaya dikkat edilmelidir.",Yöntemsel,126
Bağlam farkındalığı neden önemlidir?,"Bağlam farkındalığı, soruların verilen metnin içeriğine derinlemesine kök saldığından ve materyalin amacını ve nüanslarını anladığından emin olmak için önemlidir.",Kavramsal,126
Olgusal sorulara bir örnek verin.,"""X ne anlama gelir?"" olgusal bir soruya örnektir.",Olgusal,126
Varsayımsal sorular ne tür senaryolara dayanır?,"Varsayımsal sorular, hayal edilen senaryolara dayanır.",Kavramsal,126
Neden tekrardan kaçınılmalıdır?,Tekrardan kaçınılmalıdır çünkü tüm soruların belirgin ve benzersiz olması hedeflenir.,Nedensel,126
Metinde belirtilen soru türlerinden hangisi bir konunun kısa bir özetini ister?,"Özetleme türündeki sorular, bir konunun kısa bir özetini veya ana noktalarını sorar.",Olgusal,126
Bu metnin temel amacı nedir?,"Bu metnin temel amacı, belirli bir metin için yüksek kaliteli soru-cevap çiftleri oluşturulmasını sağlamaktır.",Olgusal,127
Yüksek kaliteli soru-cevap çiftleri oluşturulurken hangi unsurlara dikkat edilmelidir?,"Yüksek kaliteli soru-cevap çiftleri oluşturulurken dil tutarlılığı, soru çeşitliliği, zorluk dengesi, yanıt hassasiyeti, bağlam farkındalığı ve tekrardan kaçınma gibi unsurlara dikkat edilmelidir.",Listeleme,127
Neden sorular ve cevaplar metnin diliyle aynı olmalıdır?,"Sorular ve cevapların metnin diliyle aynı olması, anlaşılırlığı ve tutarlılığı sağlamak için önemlidir. Bu, metnin içeriğinin doğru bir şekilde aktarılmasına yardımcı olur.",Nedensel,127
Hangi farklı soru türleri dahil edilmelidir?,"Olgusal, kavramsal, bağlamsal, nedensel, yöntemsel, analitik, varsayımsal, yansıtıcı, spekülatif, listeleme ve özetleme gibi farklı soru türleri dahil edilmelidir.",Listeleme,127
