question,answer,question_type,page
Bu dersin konusu nedir?,"Bu dersin konuları Demokrasi Yolculuğu, Yönetim Şeklimiz ve Söz Hakkı Bizde'dir.",Olgusal,26
Kuvvetler ayrılığı ilkesi ne anlama gelir ve neden önemlidir?,"Kuvvetler ayrılığı ilkesi, yasama, yürütme ve yargı güçlerinin birbirinden ayrı ve bağımsız olması anlamına gelir. Bu ilke, güçlerin tek elde toplanmasını engelleyerek demokrasinin korunmasına yardımcı olur.",Kavramsal,26
Bu dersin kazanımlarından biri nedir?,"Bu dersin kazanımlarından biri, öğrencilerin demokrasinin temel ilkeleri açısından farklı yönetim biçimlerini karşılaştırabilmesidir.",Olgusal,26
Yönetimin karar alma sürecini etkileyen unsurlar nelerdir?,"Yönetimin karar alma sürecini etkileyen unsurlar siyasi partiler, sivil toplum kuruluşları, medya ve bireyler (kamuoyu) olarak belirtilmiştir.",Olgusal,26
Öğrencilerin derse katılımını sağlamak için hangi yöntemler önerilmektedir?,"Öğrencilerin derse katılımını sağlamak için EBA TV üzerinden konu anlatımı izletmek, 'DÜŞÜNELİM–CEVAPLAYALIM' sorusu ile düşüncelerini almak, çalışma kağıtları ile etkinlikler yapmak ve araştırma konuları vermek önerilmektedir.",Yöntemsel,26
"Türkiye Cumhuriyeti Devleti'nde yasama, yürütme ve yargı güçleri arasındaki ilişki nasıl açıklanır?","Türkiye Cumhuriyeti Devleti'nde yasama, yürütme ve yargı güçleri arasındaki ilişki, kuvvetler ayrılığı ilkesi çerçevesinde açıklanır. Her gücün kendine has yetki ve sorumlulukları bulunmaktadır.",Olgusal,26
Dersin işlenişinde EBA TV'nin rolü nedir?,"Dersin işlenişinde EBA TV, öğrencilere konuların anlatıldığı bir kaynak olarak kullanılmaktadır.",Olgusal,26
Sivil toplum kuruluşlarının (STK) yönetimin karar alma sürecindeki rolü nedir?,"Sivil toplum kuruluşları, yönetimin karar alma sürecinde kamuoyunu bilgilendirerek, farklı görüşleri temsil ederek ve politika önerileri sunarak etkili olabilirler.",Analitik,26
"Medyanın yönetimin karar alma sürecini etkileyebileceği varsayılırsa, bu etki nasıl gerçekleşir?","Medya, haberleri ve bilgileri yayarak kamuoyunu şekillendirir, farklı görüşleri dile getirir ve yönetimin eylemlerini denetler. Bu yollarla yönetimin karar alma sürecini etkileyebilir.",Varsayımsal,26
Bu derste öğrencilerin etkin vatandaşlık becerileri nasıl geliştirilir?,"Öğrencilerin etkin vatandaşlık becerileri, demokrasi, yönetim şekilleri ve söz hakkı gibi konuları öğrenerek, farklı görüşleri değerlendirerek, araştırma yaparak ve tartışmalara katılarak geliştirilir.",Yansıtıcı,26
Demokrasi nedir?,"Demokrasi, yönetim hakkının halka ait olması, halkın yönetimde söz sahibi ve seçme, seçilme hakkına sahip olmasıdır. Genellikle cumhuriyet yönetimlerinde bulunur.",Olgusal,27
Milli Egemenlik ilkesi ne anlama gelir?,"Milli Egemenlik, yönetimin ve hâkimiyetin kişilerde veya belli bir zümreye değil, millete ait olmasıdır.",Olgusal,27
Hukukun Üstünlüğü ilkesi demokrasilerde neden önemlidir?,"Hukukun Üstünlüğü, vatandaşların sorunlarını bağımsız mahkemeler aracılığı ile çözmelerini sağlar. Bu, adaletin sağlanması ve keyfi uygulamaların önlenmesi açısından önemlidir.",Kavramsal,27
"Monarşi yönetiminde yasama, yürütme ve yargı yetkileri kime aittir?","Monarşi yönetiminde yasama, yürütme ve yargı yetkileri sadece yöneticiye (kral, sultan, padişah veya imparator gibi) aittir.",Olgusal,27
Oligarşi yönetim şekli nasıl bir yapıya sahiptir?,"Oligarşi, egemenliğin belli bir zümre veya grubun elinde olduğu bir yönetim şeklidir. Bu zümre genellikle din adamları, soylular sınıfından olanlar veya toprak sahiplerinden oluşur.",Olgusal,27
Teokrasi yönetiminde yöneticiler kime karşı sorumludur?,Teokrasi yönetiminde yöneticiler tanrıya karşı sorumludur.,Olgusal,27
Cumhuriyet yönetimini diğer yönetim şekillerinden ayıran temel özellikler nelerdir?,"Cumhuriyet yönetimini diğer yönetim şekillerinden ayıran temel özellikler; egemenliğin millete ait olması, eşitlik, özgürlük ve demokrasi ilkelerinin benimsenmesi, yöneticilerin seçimle belirlenmesi ve değiştirilebilir olmasıdır.",Analitik,27
Seçme ve Seçilme Hakkı'nın demokrasi açısından önemi nedir?,"Seçme ve Seçilme Hakkı, vatandaşların ülkeyi yönetecek kişileri belirlemesini ve yönetimde söz sahibi olmasını sağlar. Bu, demokrasinin temel bir ilkesidir.",Kavramsal,27
Eşitlik ilkesi demokraside nasıl uygulanır?,"Eşitlik ilkesi, tüm vatandaşların herhangi bir ayrım olmadan kanunlara göre aynı haklara sahip olduğu ve hiçbir kimseye ayrıcalık tanınmadığı bir anlayışla uygulanır.",Yöntemsel,27
İnsan Hakları neden önemlidir?,"İnsan Hakları, tüm insanların cinsiyet, din, dil, ırk, düşünce, inanç gibi ayrım olmadan, insan olduğundan dolayı eşit, özgür ve yaşaması için gerekli temel haklara sahip olmasını sağlar. Bu, insan onurunu korur ve adil bir toplumun temelini oluşturur.",Kavramsal,27
Kuvvetler ayrılığı ilkesi nedir ve ülkemizdeki yönetim açısından önemi nedir?,"Kuvvetler ayrılığı, yasama, yürütme ve yargı güçlerinin birbirinden ayrılmasıdır. Ülkemizde demokrasi anlayışına bağlı cumhuriyet yönetiminde, bu ilke devlet yönetiminin temelini oluşturur.",Kavramsal,28
TBMM'nin yasama görevi kapsamında hangi yetkileri bulunmaktadır?,"TBMM, yasama görevi kapsamında yasaları çıkarmak, kanunları değiştirmek, savaşa ve af ilanlarına karar vermek, para basılmasına karar vermek gibi yetkilere sahiptir.",Olgusal,28
Cumhurbaşkanının yürütme görevi çerçevesindeki sorumlulukları nelerdir?,"Cumhurbaşkanı, kanunları uygular, devletin ve hükümetin başıdır, yurt içinde ve yurt dışında devleti temsil eder. Uluslararası anlaşmaları onaylar ve yayınlar, bakanları atar ve ülkenin yasalara uygun olarak yönetilmesini sağlar.",Olgusal,28
Yargı organlarının temel işlevi nedir ve bu işlev nasıl sağlanır?,"Yargı organlarının temel işlevi, vatandaşlarla vatandaşlar arasındaki ve vatandaşlarla devlet arasındaki hukuki anlaşmazlıkları çözmektir. Bu işlev, bağımsız mahkemeler aracılığıyla sağlanır.",Kavramsal,28
Ülke yönetimine katılma ve karar alma sürecinde söz sahibi olma hakkı nasıl güvence altına alınmıştır?,"Ülke yönetimine katılma ve karar alma sürecinde söz sahibi olma hakkı, anayasa ile güvence altına alınmış yasal bir haktır.",Olgusal,28
Halkın yönetime katılımını sağlayan temel araçlar nelerdir?,"Halkın yönetime katılımını sağlayan temel araçlar siyasi partiler, sivil toplum kuruluşları, medya ve bireysel olarak kamuoyu oluşturmadır.",Listeleme,28
Siyasi partilerin ülke yönetimindeki rolü nedir?,"Siyasi partiler, vatandaşlar tarafından kanunlara uygun şekilde kurulabilir ve vatandaşlar bu partilere üye olup çalışmalarına katılabilirler. Seçimlerde oy kullanarak siyasi partileri destekleyebilirler.",Kavramsal,28
Sivil toplum kuruluşlarının (STK) amacı nedir ve örnek STK'lar nelerdir?,"Sivil toplum kuruluşları, çeşitli konularda insanları bilgilendirmek, bilinçlendirmek ve kamuoyu oluşturmak amacıyla gönüllülük esasına dayalı olarak görev yapan kuruluşlardır. Örnekler arasında AÇEV, Darüşşafaka Cemiyeti ve TEMA Vakfı bulunmaktadır.",Olgusal,28
Medyanın kamuoyu oluşturmadaki rolü nedir?,"Medya, televizyon, radyo, gazete, dergi ve genel ağ gibi kitle iletişim araçları aracılığıyla toplumun bilgilendirilmesini ve yönlendirilmesini sağlayarak kamuoyu oluşturur.",Kavramsal,28
Kamuoyu kavramı neyi ifade eder ve vatandaşlar kamuoyu oluşturarak neyi amaçlarlar?,"Kamuoyu, bir sorun, konu veya taleple ilgili vatandaşlarda oluşan ortak düşünceye denir. Vatandaşlar kamuoyu oluşturarak birlikte hareket ederler ve kanunlara uygun şekilde yönetimin kararlarında etkili olmayı amaçlarlar.",Kavramsal,28
Demokrasinin temel ilkeleri nasıl bir yönetim şeklinin yaşanmasını sağlar?,"Demokrasinin temel ilkeleri, halkın iradesinin yönetime yansıdığı, özgürlüklerin ve eşitliğin esas alındığı bir yönetim şeklinin yaşanmasını sağlar.",Olgusal,29
Demokrasi yönetimini diğer yönetimlerden ayıran temel özellikler nelerdir?,"Demokrasi yönetimini diğer yönetimlerden ayıran temel özellikler; halkın egemenliği, seçme ve seçilme hakkı, farklı görüşlerin temsil edilebilmesi, hukukun üstünlüğü ve insan haklarına saygıdır.",Kavramsal,29
"Paragrafta özellikleri anlatılan yönetim şekillerinden hangisine değinilmemiştir: Teokrasi, Monarşi, Oligarşi, Cumhuriyet?","Paragrafta Teokrasi, Monarşi ve Oligarşi'nin özellikleri anlatılmış ancak Cumhuriyet'e değinilmemiştir.",Analitik,29
Demokrasi ile yönetilen ülkelerde egemenlik kime aittir?,"Demokrasi ile yönetilen ülkelerde egemenlik belirli bir zümreye değil, halka aittir.",Olgusal,29
