question,answer,question_type,page
"Sosyal bilgiler öğretmeninin bahsettiği, çevrenin doğal özelliklerini ve insan-doğal çevre etkileşimini inceleyen bilim dalı hangisidir?","Sosyal bilgiler öğretmeninin bahsettiği bilim dalı coğrafyadır. Coğrafya, doğal özellikleri, insan ve çevre etkileşimini ve bu etkileşimin sonuçlarını inceler.",Olgusal,36
Antropoloji biliminin toplu mezarlar konusundaki rolü nedir ve bu metinde nasıl vurgulanmaktadır?,"Antropoloji bilimi, kemik yapılarından mezarların yaşını tespit ederek tarihi olayların aydınlatılmasına yardımcı olabilir. Metinde, antropologların yaptığı incelemelerle toplu mezarların Roma dönemine ait olduğunun tespit edilmesi antropolojinin bu rolünü vurgulamaktadır.",Bağlamsal,36
Teknoparkların kurulma amacı nedir ve bu durum bir toplumda nelerin artması beklenmez?,"Teknoparklar, üniversite-sanayi iş birliğiyle bilgiye ve ileri teknolojilere dayalı sanayi firmalarının güçlendirilmesi amacıyla kurulur. Bu durum, eğitim kalitesinin, teknoloji yatırımlarının ve üniversite çalışmalarının artmasına yol açar. Ancak, enerji tüketiminin doğrudan artması beklenmez, çünkü teknoparkların öncelikli amacı verimliliği artırmaktır.",Çıkarımsal,36
"Üretim, dağıtım, tüketim ve ticaret faaliyetlerini inceleyen bilim dalı hangisidir?","Üretim, dağıtım, tüketim ve ticaret faaliyetlerini inceleyen bilim dalı ekonomidir.",Olgusal,36
Geçmişten günümüze meydana gelen olayları zaman sırasına göre sıralayan bilim dalı hangisidir?,Geçmişten günümüze meydana gelen olayları zaman sırasına göre sıralayan bilim dalı kronolojidir.,Olgusal,36
Nümizmatik nedir ve neyi inceler?,"Nümizmatik, paralar ve madalyonların üzerindeki yazı ve resimlerin bilimsel açıdan değerlendirmesini yapan bilim dalıdır.",Olgusal,36
Filoloji biliminin inceleme alanı nedir?,"Filoloji, dillerin tarihini, gelişimini ve değişimini araştıran bilim dalıdır.",Olgusal,36
Ermeni Diasporası'nın iddialarına Prof. Dr. Yusuf Halaçoğlu'nun verdiği yanıtın antropoloji bilimi açısından önemi nedir?,"Prof. Dr. Yusuf Halaçoğlu'nun yanıtı, antropoloji biliminin toplu mezarlardaki kemiklerin yaşını ve ait olduğu dönemi tespit edebilme yeteneğini göstermesi açısından önemlidir. Bu, tarihi olayların aydınlatılmasında antropolojinin rolünü vurgular.",Bağlamsal,36
Teknoparkların üniversite-sanayi iş birliğine katkısı nedir?,"Teknoparklar, üniversite-sanayi iş birliğiyle bilgiye ve ileri teknolojilere dayalı sanayi firmalarının güçlenmesine katkıda bulunur. Bu iş birliği, yenilikçi çalışmaların desteklenmesini, eğitim ve verimliliğin artırılmasını ve uluslararası rekabet gücünün yükseltilmesini amaçlar.",Kavramsal,36
Sosyal bilimlerin toplum için önemi nedir?,"Sosyal bilimler, yaşadığımız çevrenin doğal özelliklerini anlamamızı, insan ve doğal çevre arasındaki etkileşimi öğrenmemizi ve bu etkileşimin sonuçlarını değerlendirmemizi sağlar. Ayrıca, tarihi olayları anlamamıza, ekonomik faaliyetleri incelememize ve dilleri araştırmamıza yardımcı olur.",Yansıtıcı,36
AŞTAN neyi ifade etmektedir?,"AŞTAN, bu belgenin başlığını veya adını ifade etmektedir.",Olgusal,37
Bu belgenin ana konusu nedir?,"Bu belge, 'Birey ve Toplum', 'Kültür ve Miras', 'İnsanlar, Yerler ve Çevreler', 'Bilim, Teknoloji ve Toplum' olmak üzere dört ünite ve bu üniteleri kapsayan bir tarama testinden oluşan bir konu tekrarını içermektedir.",Özetleme,37
2. Ünitenin başlığı nedir?,2. Ünitenin başlığı 'Kültür ve Miras'tır.,Olgusal,37
Bu konu tekrarı belgesi hangi yayın evine aittir?,Bu konu tekrarı belgesi PRF Yayınları'na aittir.,Olgusal,37
Tarama testi hangi üniteleri kapsamaktadır?,Tarama testi 1. üniteden 4. üniteye kadar olan tüm üniteleri kapsamaktadır.,Olgusal,37
Bu belgede kaç ünite bulunmaktadır?,Bu belgede dört ünite bulunmaktadır.,Olgusal,37
1. Ünitenin konusu neden 'Birey ve Toplum' olarak belirlenmiştir?,"Bu sorunun cevabı metinde doğrudan belirtilmemiştir. Ancak, sosyal bilimler müfredatında birey ve toplum arasındaki ilişki temel bir konu olduğu için bu şekilde belirlenmiş olabilir.",Spekülatif,37
4. Ünitenin içeriği ne olabilir?,"4. Ünitenin başlığı 'Bilim, Teknoloji ve Toplum' olduğuna göre, içeriği bilimsel gelişmelerin, teknolojinin ve bunların toplum üzerindeki etkilerini içerebilir.",Varsayımsal,37
Bu konu tekrarının amacı nedir?,"Bu konu tekrarının amacı, belirtilen ünitelerdeki bilgilerin tekrar gözden geçirilmesini ve öğrenilmesini sağlamaktır.",Kavramsal,37
Bu belgenin hedef kitlesi kimlerdir?,"Bu belgenin hedef kitlesi, belirtilen ünitelerdeki konuları öğrenmek veya tekrar etmek isteyen öğrencilerdir.",Yansıtıcı,37
Şemada soru işareti ile belirtilen alana hangi kavram getirilmelidir?,"Şemada verilenler sorumluluklarımız olduğundan, soru işareti ile belirtilen alana 'Sorumluluk' kavramı getirilmelidir.",Olgusal,38
Sorumluluk ne anlama gelir?,"Sorumluluk, bir kişinin kendine ve başkalarına karşı yükümlülüklerini zamanında yerine getirmesi zorunluluğudur.",Tanımlayıcı,38
Verilen test hangi üniteyi kapsamaktadır?,"Verilen test, Birey ve Toplum ünitesinin tekrarını kapsamaktadır.",Olgusal,38
Bu ikram daha çok kimlere yapılır?,Bu ikram daha çok misafirlere yapılır.,Olgusal,38
Öğrencilere burs veren kuruluş kaç numara ile gösterilmiştir?,Soruda belirtilen görselde öğrencilere burs veren kuruluş tespit edilememiştir.,Olgusal,38
"Hangi roller isteğimizle çalışarak, başarı göstererek sonradan sahip olunur?","İsteğimizle çalışarak, başarı göstererek sonradan sahip olduğumuz roller, özgür irademizle katıldığımız grupların bize yüklediği rollerdir.",Kavramsal,38
Takım kaptanı olmak hangi tür role örnek gösterilebilir?,"Takım kaptanı olmak, isteğimizle çalışarak ve başarı göstererek sonradan sahip olduğumuz rollere örnek gösterilebilir.",Örnekleme,38
"Evine geldiğinde karısına karşı eş, çocuklarına karşı baba rolünde olan bir kişinin hangi rolü üstlenmesi kesinlikle beklenmez?","Evine geldiğinde karısına karşı eş, çocuklarına karşı baba rolünde olan bir kişinin ailenin babaannesi rolünü üstlenmesi kesinlikle beklenmez.",Çıkarımsal,38
Ön yargının nedenleri nelerdir?,"Ön yargının nedenleri arasında empati kurmamak, birbirini tanımamak ve farklılıklara saygı duymamak yer alır.",Neden-Sonuç,38
"Aşağıdakilerden hangisi ön yargının nedenlerinden biri değildir: Empati kurmamak, Birbirini tanımamak, Başkalarına yardımcı olmak, Farklılıklara saygı duymamak?","Başkalarına yardımcı olmak, ön yargının nedenlerinden biri değildir.",Negatif Olgusal,38
Kızılay'ın temel ilkeleri nelerdir?,"Kızılay, Uluslararası Kızılhaç ve Kızılay Hareketi'nin temel ilkeleri olan “insanlık, ayrım gözetmemek, tarafsızlık, bağımsızlık, hayır kurumu niteliği, birlik ve evrensellik” çerçevesinde çalışır.",Listeleme,39
Kızılay'da çalışan personelin durumu nasıldır?,"Kızılay'da çalışan personelin bir kısmı gönüllü olarak, bir kısmı ise maaşlı olarak çalışır.",Olgusal,39
Sosyal yardım amacıyla hizmet veren kurumlara bir örnek veriniz.,"Kızılay, sosyal yardım amacıyla hizmet veren kuruluşlardan biridir.",Olgusal,39
Bireyin gelişiminde ve toplumsal birliktelikte etkili olan unsurlar nelerdir?,"Tarih, dil, din, örf, âdet, gelenek, görenek ve bayramlar gibi ögeler bireyin gelişiminde ve toplumsal birlikteliğin oluşmasında etkilidir.",Listeleme,39
"Tarih, dil, din, örf, adet, gelenek ve görenek gibi ögelerin bir araya gelmesi neyi oluşturur?",Bu ögelerin bir araya gelmesi kültürü oluşturur.,Kavramsal,39
Mesleki roller ile sosyal roller arasındaki temel fark nedir?,"Mesleki rollere ilişkin beklentiler yazılıdır, sosyal rollere ilişkin beklentiler ise yazılı değildir.",Analitik,39
Yazılı olmayan bir role örnek veriniz.,"Abilik, yazılı olmayan bir role örnektir.",Olgusal,39
Toplumsal gruplarda rolleri yerine getirirken hangi duygu ile hareket etmemize gerek yoktur?,Toplumsal gruplarda rolleri yerine getirirken çıkar sağlama duygusu ile hareket etmemize gerek yoktur.,Kavramsal,39
Bir kişinin rolü neye göre belirlenir?,"Bu kişilerin rolleri aile, okul, işyeri veya futbol takımı gibi unsurlara göre belirlenir.",Nedensel,39
Görselde verilen geleneksel sanat dalı nedir?,Görselde verilen geleneksel sanat dalı hattır.,Olgusal,39
"Alparslan'ın askerlerine yaptığı konuşmada, şehit olması durumunda ne olmasını istemiştir?",Şehit olması durumunda beyaz elbisesinin kefeni olmasını ve ruhunun göklere çıkmasını istemiştir.,Olgusal,40
Alparslan'ın yerine tahta kimi çıkarmalarını istemiştir ve neden ona bağlı kalmaları gerektiğini belirtmiştir?,Melikşah'ı tahta çıkarmalarını ve ona bağlı kalmalarını istemiştir; metinde bu bağlılığın nedeni belirtilmemiştir.,Olgusal,40
Metinde Alparslan'ın hangi önemli rolüne değinilmektedir?,Alparslan'ın Türklerin Orta Asya'dan Anadolu'ya gelişlerini ve mücadelesini yöneten askeri komutan ve hükümdar olduğuna değinilmektedir.,Kavramsal,40
Anadolu Selçuklu Devleti'nin ticarete önem verdiğine dair hangi kanıt gösterilebilir?,"Liman kentlerini fethetmeleri, Anadolu Selçuklu Devleti'nin ticarete önem verdiğine dair bir kanıt olarak gösterilebilir.",Çıkarımsal,40
Orta Asya Türk yaşantısının hangi olayla ortadan kalktığı belirtilmektedir?,İslamiyet'in benimsenmesiyle Orta Asya Türk yaşantısının ortadan kalktığı belirtilmektedir.,Nedensel,40
Cenaze törenleri ve ağıtlar Türk kültüründe hangi kavramla ifade edilir?,Cenaze törenleri ve ağıtlar Türk kültüründe 'Yuğ' kavramıyla ifade edilir.,Olgusal,40
Kral Yolu'nu ticarete açan uygarlık hangisidir?,Kral Yolu'nu ticarete açan uygarlık Lidyalılar'dır.,Olgusal,40
Hz. Muhammed Dönemi'ndeki ilk askeri savaş hangisidir?,Hz. Muhammed Dönemi'ndeki ilk askeri savaş Bedir Savaşı'dır.,Olgusal,40
Alparslan'ın Melikşah'ı nasıl yetiştirdiği belirtilmektedir?,Alparslan'ın Melikşah'ı küçük yaşlardan itibaren itina ile yetiştirdiği belirtilmektedir.,Olgusal,40
Bu testin konusunu özetleyiniz.,"Bu test, Kültür ve Miras konusunu (2. Ünitenin tekrarı) ve özellikle Büyük Selçuklu Devleti, Anadolu Selçuklu Devleti, Orta Asya Türk kültürü, ilk Türk devletleri ve Hz. Muhammed dönemini kapsamaktadır.",Özetleme,40
