question,answer,question_type,page
Kurgan nedir?,"Kurgan, Orta Asya Türklerinde ölülerin eşyalarıyla birlikte gömüldüğü mezarlara verilen isimdir.",Olgusal,16
Balbal dikme adeti neyi ifade ederdi?,"Balbal, İslamiyet öncesi Türklerde mezarların yakınına öldürülen düşman sayısı kadar dikilen heykellerdi.",Olgusal,16
İslamiyet'in kabulünde tek Tanrı inancının nasıl bir etkisi olmuştur?,"İslamiyet öncesi Türklerde görülen tek Tanrı inancı, İslamiyet'in daha kolay kabul edilmesinde etkili olmuştur.",Nedensel,16
Altın Elbiseli Adam kimdir ve neden bu isim verilmiştir?,"Altın Elbiseli Adam, 1970 yılında Kazakistan'daki Issık Gölü yakınlarında bulunan bir kurgan mezarında bulunan, tamamen altından yapılmış elbiseleri olan bir tigindir (hakanın oğlu). Kim olduğu bilinmediği için bu isim verilmiştir.",Olgusal,16
Törenin Türk devletleri için önemi nedir?,"Töre, Türk toplum hayatını düzenleyen ve devletin devamlılığı için önemli olan yazısız hukuk kurallarıdır. Kök Türk Yazıtlarında töresini kaybeden ulusun yok olacağı belirtilmiştir.",Kavramsal,16
Kut anlayışı neyi ifade eder?,"Kut anlayışı, kağanlığın Türklere Tanrı tarafından verildiğine inanılan bir görev olduğunu ifade eder.",Kavramsal,16
Bozkır kültürü neden 'atlı göçebe kültürü' olarak adlandırılır?,"Bozkır kültürü, Türklerin sosyal, ekonomik ve askeri hayatında atın önemli bir yeri olmasından dolayı 'atlı göçebe kültürü' olarak adlandırılır.",Nedensel,16
Pazırık Kurganı'nda bulunan halının önemi nedir?,"Pazırık Kurganı'nda bulunan halı, en eski düğüm tekniği ile dokunmuş halı olarak kabul edilir ve bozkır kültürüne ait hayvan figürleri ile Hun Gülü adı verilen çiçek görseli içerir. Bu halı, teknik ve estetiğin yaşam koşulları ile bir araya geldiği eşsiz bir eserdir.",Olgusal,16
Orta Asya Türkleri hangi dinlere inanmışlardır?,"Orta Asya Türkleri İslamiyet'in yanı sıra Hristiyanlık, Musevilik, Budizm ve Maniheizm gibi dinlere de inanmışlardır.",Listeleme,16
Türklerin ölümden sonraki yaşama inandıklarına dair kanıt nedir?,"Türklerin ölümden sonraki yaşama inandıklarına dair kanıt, ölülerini eşyalarıyla birlikte gömmeleridir.",Çıkarsama,16
AŞTAN'da 1. ünite hangi konuyu kapsar?,AŞTAN'da 1. ünite Birey ve Toplum konusunu kapsar.,Olgusal,17
AŞTAN'da 2. ünite ne hakkındadır?,AŞTAN'da 2. ünite Kültür ve Miras hakkındadır.,Olgusal,17
Tarama testinin amacı nedir?,"Tarama testinin amacı, 1. ve 2. ünitelerde öğrenilen konuların tekrarını sağlamaktır.",Kavramsal,17
Bu dokümanın genel amacı nedir?,"Bu dokümanın genel amacı, Birey ve Toplum ile Kültür ve Miras konularını öğretmek ve tarama testleri ile öğrenilenlerin pekiştirilmesini sağlamaktır.",Bağlamsal,17
Konu tekrarının faydaları nelerdir?,"Konu tekrarı, öğrenilen bilgilerin daha iyi anlaşılmasını ve uzun süreli hafızada kalmasını sağlar.",Nedensel,17
Tarama testi nasıl uygulanır?,"Metinde tarama testinin nasıl uygulanacağına dair bir bilgi bulunmamaktadır, ancak amacı konu tekrarını sağlamaktır.",Yöntemsel,17
"Birey ve Toplum konusu, Kültür ve Miras konusundan nasıl farklıdır?","Birey ve Toplum, bireylerin toplum içindeki rolleri ve etkileşimleriyle ilgilenirken, Kültür ve Miras geçmişten günümüze aktarılan değerler ve geleneklerle ilgilenir.",Analitik,17
Öğrenci bu ünitelerde başarısız olursa ne olur?,"Öğrenci bu ünitelerde başarısız olursa, konu tekrarı ve tarama testleri ile eksiklerini gidermesi ve konuları tekrar gözden geçirmesi önerilir.",Varsayımsal,17
Bu konuların öğrenilmesi bireyin geleceği için hangi etkileri yaratır?,"Bu konuların öğrenilmesi bireyin toplumu ve kültürü anlamasına, daha bilinçli bir birey olmasına ve topluma katkıda bulunmasına yardımcı olur.",Yansıtıcı,17
Bu materyalin hedef kitlesi kimlerdir?,"Bu materyalin hedef kitlesi, Birey ve Toplum ile Kültür ve Miras konularını öğrenmek isteyen öğrencilerdir.",Özetleme,17
"Önyargı, ayrımcılık ve çatışmanın azalması için neler yapılmalıdır?","Toplumsal temas artırılmalı, insanlar arasındaki iletişim ve duygusal bağ güçlendirilmelidir. Empati ve karşılıklı saygı anlayışı da geliştirilmelidir.",Olgusal,18
Sivil toplum örgütlerinin çalışma alanlarına örnekler nelerdir?,"Eğitim, spor, sağlık ve çevre gibi farklı alanlarda çalışmalar yapabilirler.",Listeleme,18
Sonradan sahip olduğumuz rollere bir örnek veriniz.,İşçi olmak sonradan sahip olunan bir roldür.,Olgusal,18
Yardımlaşmanın yaygın olmadığı toplumlarda ne gibi olumsuz sonuçlar ortaya çıkar?,Bencillik duygusu yaygınlaşır.,Nedensel,18
Göçmen karşıtı ve ayrımcı söylemlerin arttığı bir ülkede hangi insan hakları sorunları yaşanabilir?,İnsan hakları zarar görebilir.,Yansıtıcı,18
