question,answer,question_type,page
Selçuk Üniversitesi öğrencilerinin geliştirdiği projenin temel amacı nedir?,"Projenin temel amacı, topraksız ve insansız tarım uygulamasına imkan sağlayacak bir sistem geliştirmektir.",Olgusal,141
Geliştirilen sistem hangi unsurları bir araya getirmektedir?,"Geliştirilen sistem, sensörlü ve robotik kol sistemini bir araya getirmektedir.",Olgusal,141
Selçuk Üniversitesi öğrencilerinin projesi hangi festivalde derece almıştır?,"Selçuk Üniversitesi öğrencilerinin projesi, Havacılık, Uzay ve Teknoloji Festivali 2021 finalinde ""Tarım Teknolojileri"" kategorisinde üçüncülük elde etmiştir.",Olgusal,141
Bu sistemin az kaynakla kaliteli ürün yetiştirmesi nasıl mümkün olmaktadır?,"Sistem, bitkinin gelişimindeki verileri işleyip gerekli müdahalelere olanak sağlayarak ve ürün için uygun ortamı ve değerleri hazırlayarak verimi artırmaktadır.",Nedensel,141
Topraksız ve insansız tarımın faydaları neler olabilir?,"Topraksız ve insansız tarım, kaynakların daha verimli kullanılmasını, insan gücüne olan ihtiyacın azalmasını ve daha kontrollü bir üretim ortamı sağlayarak verimi artırmayı sağlayabilir.",Yansıtıcı,141
Sosyal bilimler neyi inceler?,"Sosyal bilimler, toplumsal olayları, insanların yaşamını, sosyal, ekonomik ve kültürel faaliyetlerini inceler.",Olgusal,141
Antropolojinin çalışma alanına hangi konular girer?,Renklerin insanlar üzerindeki etkisi gibi konular sosyal bilimlerden antropolojinin çalışma alanına girer.,Olgusal,141
TÜBİTAK hangi kuruma bağlı olarak çalışmaktadır?,Metinde TÜBİTAK'ın hangi kuruma bağlı olarak çalıştığı bilgisi hatalı olarak verilmiştir. Metinde TÜBİTAK'ın Yükseköğretim Kurumuna bağlı olduğu belirtilse de bu bilgi yanlıştır.,Olgusal,141
PARDUS nedir?,"PARDUS, Türkiye'nin milli işletim sistemidir.",Olgusal,141
Ülkemizde bilimsel çalışmaları destekleyen kurumların başında hangisi gelmektedir (metne göre)?,"Metne göre, ülkemizde bilimsel çalışmaları destekleyen kurumların başında T.C. Sanayi ve Teknoloji Bakanlığı gelmektedir.",Olgusal,141
Yerli otomobil projesi kapsamında hangi tür araçların üretim ve geliştirme çalışmaları devam etmektedir?,Yerli otomobil projesi kapsamında elektrikli araçların üretim ve geliştirme çalışmaları devam etmektedir.,Olgusal,141
Topraksız tarım sisteminin gelecekteki potansiyeli nedir?,"Topraksız tarım sisteminin gelecekteki potansiyeli, sürdürülebilir gıda üretimi, kaynak verimliliği ve iklim değişikliğine uyum sağlama açısından önemlidir. Özellikle su kıtlığı ve tarım arazilerinin azalması gibi sorunlara çözüm sunabilir.",Spekülatif,141
Bu metinde bahsedilen bilim ve teknoloji alanındaki gelişmelerin ortak amacı nedir?,"Bu metinde bahsedilen bilim ve teknoloji alanındaki gelişmelerin ortak amacı, yaşam kalitesini artırmak, kaynakları daha verimli kullanmak ve ülkenin teknolojik bağımsızlığını güçlendirmektir.",Kavramsal,141
Metinde geçen kurum ve projelerden hangileri Türkiye'nin dışa bağımlılığını azaltmayı hedeflemektedir?,"Metinde geçen yerli otomobil projesi ve milli işletim sistemi PARDUS, Türkiye'nin dışa bağımlılığını azaltmayı hedeflemektedir. Ayrıca, TÜBİTAK'ın aşı ve ilaç projeleri de bu amaca hizmet etmektedir (metindeki hatalı bilgiye rağmen).",Analitik,141
