question,answer,question_type,page
Demokrasi kelimesinin anlamı nedir?,"Demokrasi kelimesinin anlamı, halkın kendi kendini yönetmesidir.",Olgusal,206
Halkın kendi kendini yönetmesi ne anlama gelir?,"Halkın kendi kendini yönetmesi, vatandaşların belirli zamanlarda kendini yönetme yetkisini bir siyasal güce vermesi ve bu gücü seçilmiş temsilcileri aracılığıyla denetlemesi anlamına gelir.",Kavramsal,206
Demokrasi ile ilişkilendirilen kavramlar nelerdir?,"Demokrasi ile ilişkilendirilen kavramlar arasında eşitlik, adalet, hoşgörü ve temel insan hakları bulunmaktadır.",Listeleme,206
Milli egemenlik ilkesi demokrasilerde neyi ifade eder?,"Milli egemenlik ilkesi, demokrasilerde egemenliğin millete ait olduğunu ve milletin bu hakkı seçtiği temsilcileri aracılığıyla kullandığını ifade eder.",Kavramsal,206
Anayasamızda milli egemenlik nasıl belirtilmiştir?,Anayasamızda milli egemenlik 'Egemenlik kayıtsız şartsız milletindir' şeklinde belirtilmiştir.,Olgusal,206
İnsan haklarına saygı ilkesinin demokrasi için önemi nedir?,"İnsan haklarına saygı ilkesinin demokrasi için önemi, temel hak ve özgürlüklerin anayasa, yasalar ve uluslararası sözleşmelerle güvence altına alınmasının demokrasinin yaşatılması için çok önemli olmasıdır.",Kavramsal,206
Hürriyet ve eşitlik ilkesi neyi sağlar?,"Hürriyet ve eşitlik ilkesi, bütün bireylerin özgürce yaşamasını sağlar. Hürriyet ve fırsat eşitliğinin tam olarak sağlanamadığı toplumlarda demokrasiden bahsedilemez.",Kavramsal,206
Yasalar karşısında eşitlik ne anlama gelir?,"Yasalar karşısında eşitlik, herkesin inanç, ırk, cinsiyet, dil ve siyasi düşünce farklılıklarına bakılmaksızın eşit olması anlamına gelir.",Kavramsal,206
Fırsat eşitliği sadece yasalar karşısında mı geçerlidir?,"Hayır, fırsat eşitliği sadece yasalar karşısındaki fırsat eşitliğini değil, sosyal ve ekonomik hayattaki fırsat eşitliğini de kapsamaktadır.",Olgusal,206
Demokrasinin temel ilkeleri nelerdir?,"Demokrasinin temel ilkeleri arasında milli egemenlik, insan haklarına saygı, hürriyet ve eşitlik bulunmaktadır.",Listeleme,206
Milletvekilleri gücünü nereden alır?,Milletvekilleri gücünü milletten alır.,Olgusal,206
Temel hak ve özgürlükler nelerdir?,"Temel hak ve özgürlükler, insanların sadece insan oldukları için sahip oldukları hak ve özgürlüklerdir.",Kavramsal,206
Hürriyet ve fırsat eşitliğinin sağlanamadığı toplumlarda ne olmaz?,Hürriyet ve fırsat eşitliğinin sağlanamadığı toplumlarda demokrasiden bahsedilemez.,Olgusal,206
Türkiye Büyük Millet Meclisi (TBMM) nerede bulunur?,"Türkiye Büyük Millet Meclisi (TBMM), Genel Kurul Salonu'nda bulunur.",Olgusal,206
