question,answer,question_type,page
"Sosyal bilgiler öğretmeninin bahsettiği, çevrenin doğal özelliklerini inceleyen bilim dalı hangisidir?",Sosyal bilgiler öğretmeninin bahsettiği bilim dalı Coğrafya'dır.,Olgusal,36
"Antropoloji bilimi, metinde verilen bilgilere göre ne gibi bir rol oynamaktadır?","Antropoloji bilimi, tarihi olayların aydınlatılmasında ve kemik yapılarının yaşının tespitinde bir yöntem olarak kullanılabilmektedir.",Bağlamsal,36
Teknoparkların kurulmasının temel amacı nedir?,"Teknoparklar, üniversite-sanayi iş birliğiyle bilgiye ve ileri teknolojilere dayalı sanayi firmalarının güçlendirilmesi amacıyla kurulur.",Olgusal,36
Teknoparklara önem veren bir toplumda neyin artması beklenmez?,Teknoparklara önem veren bir toplumda enerji tüketiminin artması beklenmez.,Analitik,36
"Üretim, dağıtım, tüketim ve ticaret faaliyetlerini inceleyen bilim dalı hangisidir?","Üretim, dağıtım, tüketim ve ticaret faaliyetlerini inceleyen bilim dalı Ekonomidir.",Olgusal,36
Geçmişten günümüze meydana gelen olayları sıralayan bilim dalı hangisidir?,Geçmişten günümüze meydana gelen olayları sıralayan bilim dalı Kronolojidir.,Olgusal,36
Nümizmatik nedir ve neyi inceler?,"Nümizmatik, paralar ve madalyonların üzerindeki yazı ve resimlerin bilimsel açıdan değerlendirmesini yapan bilim dalıdır.",Olgusal,36
Filoloji biliminin temel konusu nedir?,"Filoloji biliminin temel konusu dillerin tarihini, gelişimini ve değişimini araştırmaktır.",Olgusal,36
Prof. Dr. Yusuf Halaçoğlu'nun açıklamasına göre toplu mezarların incelenmesinde antropolojinin rolü nedir?,"Prof. Dr. Yusuf Halaçoğlu'nun açıklamasına göre antropoloji, toplu mezarlardaki kemiklerin yaşını tespit ederek tarihi olayların aydınlatılmasına yardımcı olabilir.",Yöntemsel,36
Teknoparkların eğitim kalitesine etkisi nasıldır?,"Teknoparklar, sanayi firmalarının yenilikçi çalışmalarını destekleyerek, eğitim ile verimliliğin artırılmasını amaçlar, dolayısıyla eğitim kalitesini olumlu yönde etkiler.",Nedensel,36
"Eğer antropoloji bilimi olmasaydı, toplu mezarlar hakkındaki iddialar nasıl değerlendirilirdi?","Antropoloji bilimi olmasaydı, toplu mezarlar hakkındaki iddiaların doğruluğunu tespit etmek ve mezarların yaşını belirlemek zorlaşırdı.",Varsayımsal,36
Ekonomi biliminin toplum üzerindeki etkileri nelerdir?,"Ekonomi bilimi, insanların ihtiyaçlarını karşılamak için yapılan üretim, dağıtım, tüketim ve ticaret faaliyetlerini inceleyerek toplumun refah düzeyini etkiler.",Yansıtıcı,36
Kronoloji biliminin tarih araştırmalarındaki önemi nedir?,"Kronoloji bilimi, geçmişten günümüze meydana gelen olayların zamanını tespit ederek sıraladığı için, tarih araştırmalarında olayların doğru bir şekilde anlaşılmasına ve yorumlanmasına yardımcı olur.",Kavramsal,36
Neden bir toplum teknoloji yatırımlarına önem vermelidir?,"Bir toplum, uluslararası rekabet gücünü yükseltmek, eğitim kalitesini artırmak ve yenilikçi çalışmaları desteklemek için teknoloji yatırımlarına önem vermelidir.",Spekülatif,36
Sosyal bilimlerin temel dallarından dördünü listeleyin.,"Sosyal bilimlerin temel dallarından dördü şunlardır: Coğrafya, Ekonomi, Tarih ve Antropoloji.",Listeleme,36
AŞTAN'ın ne olduğu belirtiliyor?,AŞTAN'ın bir konu tekrarı olduğu belirtiliyor.,Olgusal,37
Bu konu tekrarı hangi ders için hazırlanmıştır?,Bu konu tekrarının hangi ders için hazırlandığı belirtilmemiştir.,Bağlamsal,37
Konu tekrarı hangi yayın tarafından hazırlanmıştır?,Konu tekrarı PRF Yayınları tarafından hazırlanmıştır.,Olgusal,37
Konu tekrarında kaç ünite bulunmaktadır?,Konu tekrarında 4 ünite bulunmaktadır.,Olgusal,37
İlk ünite hangi konuyu kapsamaktadır?,İlk ünite Birey ve Toplum konusunu kapsamaktadır.,Olgusal,37
İkinci ünite hangi konuyu kapsamaktadır?,İkinci ünite Kültür ve Miras konusunu kapsamaktadır.,Olgusal,37
Üçüncü ünite hangi konuyu kapsamaktadır?,"Üçüncü ünite İnsanlar, Yerler ve Çevreler konusunu kapsamaktadır.",Olgusal,37
Dördüncü ünite hangi konuyu kapsamaktadır?,"Dördüncü ünite Bilim, Teknoloji ve Toplum konusunu kapsamaktadır.",Olgusal,37
1-4. üniteleri kapsayan ne bulunmaktadır?,1-4. üniteleri kapsayan bir Tarama Testi bulunmaktadır.,Olgusal,37
Bu konu tekrarının amacı nedir?,"Bu soruya metinde doğrudan bir cevap bulunmamaktadır, ancak öğrencilerin belirtilen ünitelerdeki bilgileri tekrar etmelerini sağlamak olduğu çıkarılabilir.",Çıkarımsal,37
Tarama testi neyi amaçlamaktadır?,"Tarama testi, 1-4. ünitelerdeki öğrenilen bilgilerin genel bir tekrarını ve değerlendirmesini amaçlamaktadır.",Kavramsal,37
Birey ve Toplum ünitesinin içeriği ne olabilir?,"Birey ve Toplum ünitesinin içeriği, bireyin toplum içindeki rolü, hak ve sorumlulukları, sosyal etkileşimler gibi konuları kapsayabilir. (Metinde doğrudan belirtilmemiştir)",Spekülatif,37
Kültür ve Miras ünitesinde hangi konular ele alınabilir?,"Kültür ve Miras ünitesinde, farklı kültürler, gelenekler, görenekler, tarihi eserler ve kültürel mirasın korunması gibi konular ele alınabilir. (Metinde doğrudan belirtilmemiştir)",Spekülatif,37
"İnsanlar, Yerler ve Çevreler ünitesinde coğrafya ile ilgili hangi konulara değinilebilir?","İnsanlar, Yerler ve Çevreler ünitesinde iklim, yeryüzü şekilleri, doğal kaynaklar, nüfus dağılımı ve çevre sorunları gibi coğrafi konulara değinilebilir. (Metinde doğrudan belirtilmemiştir)",Spekülatif,37
"Bilim, Teknoloji ve Toplum ünitesinde ne gibi konular işlenebilir?","Bilim, Teknoloji ve Toplum ünitesinde, bilimsel gelişmelerin toplumsal etkileri, teknolojinin kullanımı ve etik sorunlar, bilimsel araştırmalar gibi konular işlenebilir. (Metinde doğrudan belirtilmemiştir)",Spekülatif,37
Şemada soru işareti ile belirtilen alana hangi kavram getirilmelidir?,"Soru işareti ile belirtilen alana 'Sorumluluk' kavramı getirilmelidir. Trafik kurallarına uymak, düzenli ders çalışmak, doğayı korumak ve okul araç gereçlerini temiz kullanmak sorumluluklarımızdandır.",Olgusal,38
Sorumluluk ne anlama gelir?,"Sorumluluk, bir kişinin kendine ve başkalarına karşı olan yükümlülüklerini zamanında yerine getirmesi zorunluluğudur.",Kavramsal,38
Öğrencilere burs veren kuruluş hangi numara ile gösterilmiştir?,Öğrencilere burs veren kuruluş Mehmetçik Vakfı'dır ve şemada IV numarası ile gösterilmiştir.,Olgusal,38
Hangi durumlarda misafirlere ikram yapılır?,Metinde belirtilen ikramın daha çok misafirlere yapıldığıdır. Ancak metinde diğer durumlara dair bir karşılaştırma veya eleme yapılmamıştır.,Bağlamsal,38
"Hangi roller isteyerek, çalışarak ve başarı göstererek elde edilir?","İsteğimizle çalışarak, başarı göstererek sonradan sahip olduğumuz roller, özgür irademizle katıldığımız grupların bize yüklediği rollerdir.",Olgusal,38
Takım kaptanı olmak hangi tür role örnektir?,"Takım kaptanı olmak, isteyerek çalışarak ve başarı göstererek elde edilen bir role örnektir. Bu, özgür irademizle katıldığımız bir grubun bize yüklediği bir roldür.",Analitik,38
Bir kişi evine geldiğinde hangi rolleri üstlenir?,"Bir kişi evine geldiğinde karısına karşı eş, çocuklarına karşı baba rolünü üstlenir.",Olgusal,38
Hangi rolü bir kişinin evine geldiğinde üstlenmesi kesinlikle beklenmez?,"Bir kişinin evine geldiğinde ailenin babaannesi rolünü üstlenmesi kesinlikle beklenmez, çünkü bu rol genellikle aile büyüklerine aittir.",Analitik,38
Ön yargının nedenleri nelerdir?,"Ön yargının nedenleri arasında empati kurmamak, birbirini tanımamak ve farklılıklara saygı duymamak yer alır.",Listeleme,38
Ön yargıyı azaltmak için neler yapılabilir?,"Ön yargıyı azaltmak için empati kurmak, birbirini tanımak ve farklılıklara saygı duymak önemlidir.",Yöntemsel,38
Empati kurmamak ön yargıya nasıl yol açar?,"Empati kurmamak, başkalarının duygularını ve düşüncelerini anlamamıza engel olarak, onlar hakkında yanlış ve olumsuz yargılara sahip olmamıza neden olur, bu da ön yargıya yol açar.",Nedensel,38
Farklılıklara saygı duymamanın sonuçları nelerdir?,"Farklılıklara saygı duymamak, ötekileştirmeye, ayrımcılığa ve sosyal uyumsuzluğa yol açabilir.",Yansıtıcı,38
Eğer insanlar birbirini tanımaya çalışmazsa ne olur?,"Eğer insanlar birbirini tanımaya çalışmazsa, yanlış anlamalar ve stereotipler oluşabilir, bu da ön yargıları pekiştirir.",Varsayımsal,38
Ön yargı olmaması için toplumda olması gereken temel özellikler nelerdir?,"Ön yargının olmaması için toplumda empati, hoşgörü, saygı ve farklılıklara açıklık gibi özelliklerin olması gerekir.",Kavramsal,38
Bu testin ana amacı nedir?,"Bu testin ana amacı, birey ve toplum ile ilgili temel kavramları tekrar etmek ve öğrencinin bu konudaki bilgi düzeyini ölçmektir.",Özetleme,38
Kızılay ne tür bir kuruluştur?,"Kızılay, sosyal yardım amacıyla hizmet veren bir yardım kuruluşudur.",Olgusal,39
Kızılay'ın temel ilkeleri nelerdir?,"Kızılay'ın temel ilkeleri insanlık, ayrım gözetmemek, tarafsızlık, bağımsızlık, hayır kurumu niteliği, birlik ve evrenselliktir.",Listeleme,39
Kızılay'da çalışan personelin durumu nasıldır?,"Kızılay'da çalışan personelin bir kısmı gönüllü, bir kısmı ise maaşlı olarak çalışır.",Olgusal,39
"Tarih, dil, din gibi ögelerin bir araya gelmesi neyi oluşturur?","Tarih, dil, din, örf, adet, gelenek, görenek ve bayramlar gibi ögelerin bir araya gelmesi kültürü oluşturur.",Olgusal,39
Mesleki roller ile sosyal roller arasındaki temel fark nedir?,"Mesleki rollere ilişkin beklentiler yazılıdır, sosyal rollere ilişkin beklentiler ise yazılı değildir.",Analitik,39
"Abilik yazılı bir rol müdür, değil midir? Neden?","Abilik yazılı bir rol değildir, sosyal bir roldür. Sosyal rollere ilişkin beklentiler yazılı olmadığı için abilik de yazılı bir rol değildir.",Kavramsal,39
Toplumsal gruplarda rollerimizi yerine getirirken hangi duyguyla hareket etmemize gerek yoktur?,Toplumsal gruplarda rollerimizi yerine getirirken çıkar sağlama duygusuyla hareket etmemize gerek yoktur.,Kavramsal,39
Bir futbol takımında kişilerin rolleri neye göre belirlenir?,"Bir futbol takımında kişilerin rolleri işyerine göre değil, futbol takımının dinamiklerine ve gereksinimlerine göre belirlenir.",Bağlamsal,39
Geleneksel sanat dallarımızdan hangisi görselde verilmiştir?,Görselde verilen geleneksel sanat dalımız hattır.,Olgusal,39
Kızılay'ın 'ayrım gözetmemek' ilkesi ne anlama gelir?,"Kızılay'ın 'ayrım gözetmemek' ilkesi, yardım faaliyetlerinde bulunurken ırk, din, dil, cinsiyet veya siyasi görüş gibi herhangi bir ayrım yapmamayı ifade eder.",Kavramsal,39
Kültürün birey ve toplum üzerindeki etkileri nelerdir?,"Kültür, bireyin gelişimini şekillendirir ve toplumsal birlikteliğin oluşmasında önemli bir rol oynar. Ortak değerler, inançlar ve davranışlar aracılığıyla toplumu bir arada tutar.",Yansıtıcı,39
"Eğer sosyal roller yazılı olsaydı, toplum nasıl etkilenirdi?","Eğer sosyal roller yazılı olsaydı, bireylerin davranışları daha katı kurallara bağlı olabilir ve toplumsal esneklik azalabilirdi. Bu durum, yaratıcılığı ve bireysel farklılıkları engelleyebilirdi.",Varsayımsal,39
Yardımlaşma ve dayanışmanın toplumsal önemi nedir?,"Yardımlaşma ve dayanışma, toplumun zor zamanlarında bir arada kalmasını sağlar, sosyal bağları güçlendirir ve bireylerin birbirine destek olmasına olanak tanır. Bu sayede toplum daha dirençli hale gelir.",Yansıtıcı,39
Kızılay'ın uluslararası alandaki önemi nedir?,"Kızılay, Uluslararası Kızılhaç ve Kızılay Hareketi'nin bir parçası olarak uluslararası alanda da insani yardım faaliyetlerinde bulunur. Bu sayede farklı ülkelerdeki ihtiyaç sahiplerine ulaşır ve küresel dayanışmaya katkı sağlar.",Bağlamsal,39
Geleneksel sanatlarımızın korunması neden önemlidir?,"Geleneksel sanatlarımız, kültürel mirasımızın önemli bir parçasını oluşturur. Onların korunması, geçmişle gelecek arasında bir köprü kurar, kültürel kimliğimizi güçlendirir ve gelecek nesillere aktarılmasını sağlar.",Kavramsal,39
Alparslan'ın askerlerine yaptığı konuşmada şehit olması durumunda ne olmasını istemiştir?,Şehit olması durumunda beyaz elbisesinin kefeni olmasını ve ruhunun göklere çıkmasını istemiştir.,Olgusal,40
Alparslan'ın konuşmasında bahsettiği zaferin kazanılması durumunda ne olacağı belirtilmiştir?,Zafer kazanılırsa önlerinde çok güzel günlerin olacağı belirtilmiştir.,Olgusal,40
Metinde Alparslan'ın yerine tahta kimin çıkarılması istenmiştir?,Melikşah'ın tahta çıkarılması ve ona bağlı kalınması istenmiştir.,Olgusal,40
Alparslan kimdir ve Türk tarihindeki önemi nedir?,"Alparslan, Büyük Selçuklu Devleti'nin ikinci sultanı ve Türklerin Orta Asya'dan Anadolu'ya gelişlerini yöneten askeri komutandır.",Kavramsal,40
Anadolu Selçuklu Devleti'nin ticarete önem verdiğine dair hangi kanıt gösterilebilir?,"Liman kentlerini fethetmeleri, Anadolu Selçuklu Devleti'nin ticarete önem verdiğine dair bir kanıt olarak gösterilebilir.",Olgusal,40
Orta Asya Türk yaşantısının hangi olayla ortadan kalktığı belirtilmiştir?,Orta Asya Türk yaşantısının İslamiyet'in benimsenmesiyle ortadan kalktığı belirtilmiştir.,Olgusal,40
Cenaze törenleri ve ağıtlar Türk kültüründe hangi kavramla ifade edilir?,Cenaze törenleri ve ağıtlar Türk kültüründe 'Yuğ' kavramıyla ifade edilir.,Olgusal,40
Kral Yolu'nu ticarete açan uygarlık hangisidir?,Kral Yolu'nu ticarete açan uygarlık Lidyalılardır.,Olgusal,40
Hz. Muhammed Dönemi'nde gerçekleşen ilk askeri savaş hangisidir?,Hz. Muhammed Dönemi'nde gerçekleşen ilk askeri savaş Bedir Savaşı'dır.,Olgusal,40
"Eğer Alparslan savaşı kaybetseydi, Melikşah'ın geleceği nasıl etkilenirdi?","Eğer Alparslan savaşı kaybetseydi, Melikşah'ın tahta geçme ihtimali azalır ve Büyük Selçuklu Devleti'nin geleceği tehlikeye girerdi.",Varsayımsal,40
Anadolu Selçuklu Devleti'nin ticarete önem vermesinin nedenleri neler olabilir?,"Anadolu Selçuklu Devleti'nin ticarete önem vermesinin nedenleri arasında ekonomik gelir elde etme, refahı artırma ve kültürel etkileşimi sağlama yer alabilir.",Nedensel,40
