question,answer,question_type,page
Bu dersin konusu nedir?,"Bu dersin konusu Demokrasi Yolculuğu, Yönetim Şeklimiz ve Söz Hakkı Bizde'dir.",Olgusal,26
Bu ders hangi sınıf seviyesi için hazırlanmıştır?,Bu ders 6. sınıf seviyesi için hazırlanmıştır.,Olgusal,26
SB.6.6.1 kazanımı neyi ifade etmektedir?,"SB.6.6.1 kazanımı, öğrencilerin demokrasinin temel ilkeleri açısından farklı yönetim biçimlerini karşılaştırmasını ifade etmektedir.",Olgusal,26
Kuvvetler ayrılığı ilkesi neden önemlidir?,"Kuvvetler ayrılığı ilkesi, yasama, yürütme ve yargı güçlerinin her birinin kendine has yetki ve sorumluluklarının olmasını sağlayarak, gücün tek elde toplanmasını engeller ve demokrasinin sağlıklı işlemesine katkıda bulunur.",Kavramsal,26
SB.6.6.2 kazanımı bağlamında Türkiye Cumhuriyeti Devleti'ndeki güçler arasındaki ilişki nasıl açıklanır?,"SB.6.6.2 kazanımı, Türkiye Cumhuriyeti Devleti'nde yasama, yürütme ve yargı güçleri arasındaki ilişkinin kuvvetler ayrılığı ilkesi çerçevesinde, her gücün kendine özgü yetki ve sorumlulukları olduğu vurgulanarak açıklanmasını hedefler.",Bağlamsal,26
Yönetimin karar alma sürecini etkileyen unsurlar nelerdir?,"Yönetimin karar alma sürecini etkileyen unsurlar siyasi partiler, sivil toplum kuruluşları, medya ve bireyler (kamuoyu) olarak belirtilmiştir.",Listeleme,26
Öğrencilerin konuyla ilgili düşüncelerini almak için hangi yöntem önerilmektedir?,Öğrencilerin konuyla ilgili düşüncelerini almak için konu özetleri bölümünün başlangıcındaki “DÜŞÜNELİM–CEVAPLAYALIM” sorusunun kullanılması önerilmektedir.,Yöntemsel,26
Öğrencilere dağıtılacak çalışma kağıtları hangi eklerde verilmiştir?,"Öğrencilere dağıtılacak çalışma kağıtları Ek-1, Ek-2 ve Ek-3'te verilmiştir.",Olgusal,26
Gelecek derse kadar öğrencilerden ne yapmaları istenmektedir?,Gelecek derse kadar öğrencilerden Ek-4'te verilen araştırma konusunu araştırmaları istenmektedir.,Yöntemsel,26
Bu derste demokrasinin temel ilkeleri neden önemlidir?,"Demokrasinin temel ilkeleri, farklı yönetim biçimlerini karşılaştırmak ve Türkiye Cumhuriyeti Devleti'ndeki yasama, yürütme ve yargı güçleri arasındaki ilişkiyi anlamak için önemlidir.",Nedensel,26
Siyasi partilerin yönetimin karar alma sürecindeki rolü nedir?,"Siyasi partiler, farklı ideolojileri temsil ederek ve kamuoyunu etkileyerek yönetimin karar alma sürecinde önemli bir rol oynarlar.",Analitik,26
